employee_id,start_date,end_date,leave_type,status,approved_by,reason
EMP-0007,2024-06-03,2024-06-07,Annual,Approved,EMP-0004,Annual vacation with family
EMP-0010,2024-07-15,2024-07-22,Annual,Pending,,Summer vacation
EMP-0011,2024-08-05,2024-08-09,Annual,Approved,EMP-0005,Family holiday trip
EMP-0014,2024-09-16,2024-09-20,Annual,Approved,EMP-0006,Planned overseas vacation
EMP-0015,2024-10-07,2024-10-11,Annual,Rejected,EMP-0003,Team sprint deadline conflict
EMP-0021,2024-11-04,2024-11-08,Annual,Approved,EMP-0018,End of year holiday
EMP-0029,2025-01-13,2025-01-17,Annual,Approved,EMP-0026,New year break
EMP-0031,2024-12-23,2024-12-31,Annual,Approved,EMP-0027,Christmas and New Year holiday
EMP-0033,2025-02-10,2025-02-14,Annual,Pending,,Personal vacation
EMP-0038,2024-05-27,2024-05-31,Annual,Approved,EMP-0036,Memorial Day week off
EMP-0040,2024-04-15,2024-04-19,Annual,Approved,EMP-0037,Spring break travel
EMP-0046,2024-07-08,2024-07-12,Annual,Approved,EMP-0044,Summer holiday
EMP-0048,2025-03-17,2025-03-21,Annual,Approved,EMP-0045,Planned vacation
EMP-0025,2024-08-19,2024-08-23,Annual,Approved,EMP-0024,Annual leave
EMP-0036,2025-04-07,2025-04-11,Annual,Pending,,Spring holiday
EMP-0008,2024-03-04,2024-03-06,Sick,Approved,EMP-0004,Flu and fever
EMP-0012,2024-02-19,2024-02-21,Sick,Approved,EMP-0006,Cold and sore throat
EMP-0020,2024-06-17,2024-06-18,Sick,Approved,EMP-0018,Stomach illness
EMP-0023,2025-01-06,2025-01-08,Sick,Pending,,Flu symptoms
EMP-0032,2024-11-25,2024-11-27,Sick,Rejected,EMP-0028,No medical certificate provided
EMP-0039,2024-09-02,2024-09-03,Sick,Approved,EMP-0036,Migraine
EMP-0047,2025-02-03,2025-02-05,Sick,Pending,,Back pain
EMP-0050,2024-12-09,2024-12-10,Sick,Pending,,Food poisoning
EMP-0022,2024-04-01,2024-06-29,Parental,Approved,EMP-0019,Maternity leave
EMP-0049,2024-07-01,2024-09-28,Parental,Approved,EMP-0045,Paternity leave
EMP-0013,2024-05-13,2024-05-15,Emergency,Approved,EMP-0006,Family medical emergency
EMP-0030,2024-10-28,2024-10-30,Emergency,Approved,EMP-0026,Bereavement - family member
EMP-0041,2025-01-27,2025-01-29,Emergency,Rejected,EMP-0037,Insufficient documentation submitted
EMP-0044,2025-03-03,2025-03-07,Unpaid,Approved,EMP-0043,Extended personal leave
EMP-0009,2024-08-12,2024-08-16,Unpaid,Rejected,EMP-0004,Request denied pending return to active status
